,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
72,馬芹粉,農藥殘留含量不符規定,檢出殘留農藥亞滅培1.58 ppm、亞托敏0.56 ppm、貝芬替1.25 ppm、可尼丁0.4 ppm、氟尼胺0.2 ppm、菲克利0.32 ppm、益達胺0.13 ppm、佈飛松1.44 ppm、賽速安0.75 ppm、脫芬瑞0.06 ppm、三賽唑1.08 ppm、三氟敏0.06 ppm、芬普尼0.029 ppm、待克利0.21 ppm、愛殺松0.25 ppm、克收欣0.31 ppm、普克利0.38 ppm及得克利0.66 ppm,依據「農藥殘留容許量標準」，農藥三賽唑及愛殺松為不得檢出；芬普尼定量極限為0.002 ppm；亞滅培、亞托敏、貝芬替、可尼丁、氟尼胺、菲克利、益達胺、佈飛松、賽速安、脫芬瑞、三氟敏、待克利、克收欣、普克利及得克利定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '克利', '0.06', '菲克', '檢出', '殘留', '農藥亞', '滅培', '1.58', '亞托敏', '0.56', '貝芬', '1.25', '可尼丁', '0.4', '氟尼胺', '0.2', '0.32', '益達胺', '0.13', '飛松', '1.44', '賽速安', '0.75', '脫芬瑞', '三賽', '1.08', '三氟敏', '芬普尼', '0.029', '0.21', '0.25', '克收欣', '0.31', '0.38', '0.66']"
73,調製炸香蕉,甜味劑含量不符規定,檢出甜味劑糖精0.01 g/kg、環己基(代)磺醯胺酸0.32 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非糖精、糖精鈉鹽、環己基(代)磺醯胺酸鈉或環己基(代)磺醯胺酸鈣准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['kg', '檢出', '0.01', '環己', '0.32', '糖精', '甜味']"
74,新鮮夏季黑松露,重金屬含量不符規定,檢出鎘4 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量(菇蕈類)為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
75,吉林人參(小支吉林鮮人參),農藥殘留含量不符規定,檢出殘留農藥陶斯松0.05 ppm、巴賽松0.01 ppm,依據「農藥殘留容許量標準」，農藥陶斯松定量極限為0.01 ppm、巴賽松為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '陶斯松', '0.05', '巴賽', '0.01']"
76,靈芝,農藥殘留含量不符規定,檢出殘留農藥賽洛寧0.08 ppm,依據「農藥殘留容許量標準」，農藥賽洛寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '洛寧', '0.08', 'ppm']"
77,東遠特選乾燥羊肚蕈,農藥殘留含量不符規定,檢出殘留農藥亞特松0.11 ppm,依據「農藥殘留容許量標準」，農藥亞特松定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥亞', '特松', '0.11', 'ppm']"
78,八角茴香,農藥殘留含量不符規定,檢出殘留農藥百克敏0.06 ppm、待克利0.14 ppm及得克利0.06 ppm,依據「農藥殘留容許量標準」，農藥百克敏、待克利及得克利定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.06', '克利', '檢出', '殘留', '農藥', '0.14', '百克']"
79,冷凍芋頭,重金屬含量不符規定,檢出重金屬鎘0.2 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(根菜及塊莖類)限量為0.1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.2', 'mg', 'kg', '重金']"
80,冷凍鰕虎魚,動物用藥殘留含量不符規定,檢出孔雀綠3 ppb及還原型孔雀綠122.4 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['ppb', '孔雀', '檢出', '及還', '122.4', '原型']"
81,櫻桃,農藥殘留含量不符規定,檢出殘留農藥滅大松0.03 ppm、Pyribencarb 0.11 ppm及賽安勃0.1 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥', '滅大松', '0.03', 'Pyribencarb', '0.11', '及賽', '安勃', '0.1']"
82,糖漬檸檬-餐廳專用,漂白劑含量不符規定,檢出二氧化硫0.14 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，糖漬果實類標準為0.10 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.14', 'kg', '二氧化硫']"
83,新鮮夏季黑松露,重金屬含量不符規定,檢出重金屬鎘4 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(菇蕈類)限量為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', 'mg', 'kg', '重金']"
84,調味醬,防腐劑含量不符規定,檢出防腐劑苯甲酸1.6 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，調味醬准用苯甲酸及其鹽類防腐劑用量以Benzoic acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '1.6', 'kg', '苯甲酸', '防腐']"
85,塑膠廚用菜板,容器具-溶出試驗不符規定,案內產品(4%醋酸95℃，30分鐘)溶出試驗結果為蒸發殘渣57 ppm,依據「食品器具容器包裝衛生標準」，原材料聚丙烯(PP)其溶出試驗(4%醋酸95℃，30分鐘)蒸發殘渣合格標準為30 ppm，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '57', 'ppm', '醋酸']"
86,鹹檸檬,防腐劑含量不符規定,檢出苯甲酸0.08 g/kg，經查產品成分添加苯甲酸鈉，依業者檢附製程資料產品係檸檬原料經鹽漬、清洗後，浸泡於苯甲酸鈉、鹽、糖、水等調製而成之溶液，製成鹹檸檬產品,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['苯甲酸', '檢出', '0.08', 'kg', '經查', '產品', '依業者檢', '經鹽', '水等', '浸泡', '清洗', '添加', '溶液', '成分', '原料']"
87,糙米,農藥殘留含量不符規定,檢出殘留農藥協力精0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '協力', '0.04', 'ppm']"
88,葡萄柚,農藥殘留含量不符規定,檢出殘留農藥Gibberellic acid 0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Gibberellic', 'acid', '0.01', 'ppm']"
89,新鮮夏季黑松露,重金屬含量不符規定,檢出重金屬鎘3 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(菇蕈類)限量為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', 'mg', 'kg', '重金']"
90,冷凍黑皮旗魚,重金屬含量不符規定,檢出重金屬鎘0.07 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(其他魚類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.07', 'mg', 'kg', '重金']"
91,鮮奇異果,農藥殘留含量不符規定,檢出殘留農藥Fenhexamid 0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Fenhexamid', '0.02', 'ppm']"
92,百合(大),重金屬含量不符規定,檢出重金屬鎘1.47 mg/kg，依據原廠檢具產品之脫水倍率換算產品鮮/濕狀態之鎘含量為0.15 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(鱗莖類)限量標準為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['mg', 'kg', '檢出', '屬鎘', '1.47', '依據', '原廠', '檢具', '產品', '脫水', '換算產品', '濕狀態', '之鎘', '0.15', '倍率', '重金', '含量']"
93,韓式多用途湯匙盤,容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值為45 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '45', 'ppm', '醋酸']"
94,韓式多用途湯匙盤,容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值為43 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '43', 'ppm', '醋酸']"
95,猴頭菇,農藥殘留含量不符規定,檢出殘留農藥克美素0.19 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.19', 'ppm']"
96,印度綠荳蔻粒,農藥殘留含量不符規定,檢出殘留農藥益達胺0.09 ppm、芬普尼0.004 ppm、芬普尼代謝物0.003 ppm(芬普尼及其代謝物之加總為0.007 ppm)、畢芬寧0.07 ppm、賽滅寧0.7 ppm、愛殺松0.28 ppm、拜裕松0.28 ppm、得克利0.08 ppm及賽洛寧0.41 ppm,依據「農藥殘留容許量標準」，農藥愛殺松為不得檢出，芬普尼及其代謝物定量極限為0.002 ppm，畢芬寧、賽洛寧容許量為0.03 ppm，益達胺、拜裕松、得克利定量極限為0.05 ppm，賽滅寧容許量為0.5 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '芬普尼', '0.28', '檢出', '殘留', '農藥益', '達胺', '0.09', '0.004', '芬普尼代', '謝物', '0.003', '代謝物', '之加', '總為', '0.007', '畢芬寧', '0.07', '賽滅寧', '0.7', '拜裕松', '0.08', '及賽', '洛寧', '0.41', '克利', '及其']"
97,印度黑荳蔻粒,農藥殘留含量不符規定,檢出殘留農藥 2-Phenylphenol 0.1 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.1', 'ppm']"
98,鮮蘋果,農藥殘留含量不符規定,檢出殘留農藥派美尼9.7 ppm,依據「農藥殘留容許量標準」，農藥派美尼容許量為7.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '美尼', '9.7', 'ppm']"
99,花生醬塊,真菌毒素含量不符規定,檢出黃麴毒素B1 4.9 µg/kg (總黃麴毒素6.2 µg/kg),依據「食品中污染物質及毒素衛生標準」，供直接食用之花生加工產品黃麴毒素B1限量2 µg/kg，總黃麴毒素限量4 µg/kg，本案不符合食品安全衛生管理法第17條規定。,"['kg', '毒素', '檢出', 'B1', '4.9', '總黃', '6.2']"
100,木筷,容器具-溶出試驗不符規定,檢出著色劑Solvent yellow 21及2-Methoxy-4-Nitroaniline,依據「食品器具容器包裝衛生標準」，Solvent yellow 21及2-Methoxy-4-Nitroaniline非規定內准用之著色劑，本案不符合食品安全衛生管理法第17條規定。,"['著色', '檢出', 'Solvent', 'yellow', '21', 'Methoxy', 'Nitroaniline']"
101,萬里風味帆立貝,防腐劑含量不符規定,檢出己二烯酸0.45 g/kg且中文標示成分含「防腐劑(己二烯酸鉀) 」,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['己二烯', '檢出', '0.45', 'kg', '標示', '酸鉀', '防腐', '中文', '成分']"
102,波納澳茶,農藥殘留含量不符規定,檢出殘留農藥芬普尼0.003 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.003', 'ppm']"
103,膠原蛋白飲,防腐劑含量不符規定,檢出防腐劑苯甲酸0.7 g/kg、己二烯酸0.6 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，不含碳酸飲料之防腐劑用量以Benzoic acid計為0.6 g/kg以下、用量以Sorbic acid 計為0.5 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.7', '0.6', '苯甲酸', '防腐']"
104,美耐皿餐具(42129L),容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值55 ppm","依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其溶出試驗4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '55', 'ppm', '醋酸']"
105,(A044)醃水果,防腐劑含量不符規定,檢出防腐劑苯甲酸1.4 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，糖漬果實類之防腐劑用量以Benzoic acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '1.4', 'kg', '苯甲酸', '防腐']"
106,印度馬芹粉,農藥殘留含量不符規定,檢出殘留農藥可尼丁0.06 ppm、佈飛松0.06 ppm,依據「農藥殘留容許量標準」，農藥可尼丁、佈飛松定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['0.06', 'ppm', '檢出', '殘留', '農藥', '可尼丁', '飛松']"
107,印度胡荽粉,農藥殘留含量不符規定,檢出殘留農藥益達胺0.09 ppm、得克利0.11 ppm,依據「農藥殘留容許量標準」，農藥益達胺、得克利定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥益', '達胺', '0.09', '0.11', '克利']"
108,印度馬芹子,農藥殘留含量不符規定,檢出殘留農藥大滅松0.1 ppm、氟尼胺0.15 ppm、益達胺0.06 ppm,依據「農藥殘留容許量標準」，農藥大滅松為不得檢出，氟尼胺、益達胺定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '大滅', '0.1', '氟尼胺', '0.15', '益達胺', '0.06']"
109,印度藏茴香(獨活草子),農藥殘留含量不符規定,檢出殘留農藥愛殺松0.3 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.3', 'ppm']"
110,蝦膏,防腐劑含量不符規定,檢出防腐劑苯甲酸0.05 g/kg、對羥苯甲酸0.08 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['kg', '苯甲酸', '檢出', '0.05', '0.08', '防腐']"
111,印度葫蘆巴粉,農藥殘留含量不符規定,檢出殘留農藥亞滅培0.66 ppm、賽速安0.43 ppm及陶斯松0.07 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、賽速安、陶斯松定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥亞', '滅培', '0.66', '賽速安', '0.43', '陶斯松', '0.07']"
112,火辣雞肉風味鐵板炒麵(咖哩風味),農藥殘留含量不符規定,案內產品之配料包檢出殘留農藥ethylene oxide 0.368 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '包檢出', '殘留', '農藥', 'ethylene', 'oxide', '0.368', 'ppm', '配料']"
113,32oz造型杯,容器具-溶出試驗不符規定,"案內產品32 oz造型杯(杯蓋)以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣為41 ppm","依據「食品器具容器包裝衛生標準」，其內部材質與內容物直接接觸之部分為聚丙烯類者其溶出試驗以4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '32', 'oz', '杯蓋', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '41', 'ppm', '醋酸', '造型']"
114,聚寶紅南瓜盅,農藥殘留含量不符規定,"檢出殘留農藥2,4-Dichlorophenoxyacetic acid 0.08 ppm","依據「農藥殘留容許量標準」，農藥2,4-Dichlorophenoxyacetic acid定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","['檢出', '殘留', '農藥', 'Dichlorophenoxyacetic', 'acid', '0.08', 'ppm']"
115,巴西蘑菇子實體(乾菇)(DRIED MUSHROOM AGARICUS BLAZEI MURRILL (FRUITING BODY)),重金屬含量不符規定,檢出鎘18 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '18', 'mg', 'kg']"
116,OXO tot 分格餐盤-莓果粉(OXO TOT DIVIDED PLATE - PINK),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,60分鐘)溶出試驗結果，蒸發殘渣值65 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其以正庚烷(25℃,60分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '60', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '65', 'ppm']"
117,孜然粉(CUMIN POWDER),農藥殘留含量不符規定,檢出殘留農藥亞滅培0.32 ppm、益達胺0.07 ppm、毆蟎多0.21 ppm及祿芬隆0.06 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、益達胺、祿芬隆定量極限為0.05 ppm、毆蟎多為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥亞', '滅培', '0.32', '益達胺', '0.07', '0.21', '及祿', '芬隆', '0.06']"
